id,word
0,claustrophobic
1,crawl
2,out
3,of
4,this
5,skin
6,hard
7,explosive
8,reaching
9,for
10,that
11,pin
12,feel
13,thy
14,name
15,extermination
16,desecrating
17,hail
18,of
19,fire
20,so
21,we
22,cross
23,that
24,line
25,into
26,the
27,crypt
28,total
29,eclipse
30,suffer
31,unto
32,my
33,apocalypse!
34,deadly
35,vision
36,prophecy
37,revealed
38,death
39,magnetic
40,pulling
41,closer
42,still
43,feel
44,thy
45,name
46,annihilation
47,desolating
48,hail
49,of
50,fire
51,so
52,we
53,cross
54,that
55,line
56,into
57,the
58,crypt
59,total
60,eclipse
61,suffer
62,unto
63,my
64,apocalypse!
65,my
66,apocalypse
67,go!
68,crushing
69,metal
70,ripping
71,skin
72,tossing
73,body
74,mannequin
75,spilling
76,blood
77,bleeding
78,gas
79,mangle
80,flesh
81,snapping
82,spine
83,dripping
84,bloody
85,valentine
86,shattered
87,face
88,spitting
89,glass
90,split
91,apart
92,split
93,apart
94,split
95,apart
96,split
97,spit
98,it
99,out!
100,what
101,makes
102,me
103,drift
104,a
105,litter
106,bit
107,closer
108,dead
109,man
110,takes
111,the
112,steering
113,wheel
114,what
115,makes
116,me
117,know
118,it?s
119,time
120,to
121,cross
122,over
123,words
124,you
125,repeat
126,until
127,i
128,feel
129,see
130,through
131,the
132,skin
133,the
134,bones
135,they
136,all
137,rattle
138,future
139,and
140,past
141,they
142,disagree
143,flesh
144,falls
145,away
146,the
147,bones
148,they
149,all
150,shatter
151,i
152,start
153,to
154,see
155,the
156,end
157,in
158,me
159,see
160,the
161,end
162,in
163,me?
164,claustrophobic
165,climb
166,out
167,of
168,this
169,skin
170,hard
171,explosive
172,waiting
173,for
174,that
175,pin
176,violate
177,annihilate
178,a
179,loser
180,to
181,my
182,eyes
183,obliterate
184,exterminate
185,at
186,last
187,accept
188,deny
189,feel
190,thy
191,name
192,as
193,hell
194,awakens
195,destiny
196,inhale
197,the
198,fire
199,but
200,we
201,cross
202,that
203,line
204,into
205,the
206,crypt
207,total
208,eclipse
209,suffer
210,unto
211,my
212,apocalypse!
213,tyrants
214,awaken
215,my
216,apocalypse!
217,demon
218,awaken
219,my
220,apocalypse!
221,heaven
222,awaken
223,my
224,apocalypse!
225,suffer
226,forever
227,my
228,apocalypse!
